date,month,numerator,denominator,calc_value,org_code,name
2023-12-01,56,7240,13545,0.534514581026209,01X,NHS ST HELENS
2024-01-01,57,7241,13548,0.5344700324771184,01X,NHS ST HELENS
2024-02-01,58,6548,12250,0.534530612244898,01X,NHS ST HELENS
2024-03-01,59,6592,12263,0.5375519856478839,01X,NHS ST HELENS
2024-04-01,60,7063,13327,0.5299767389510017,01X,NHS ST HELENS
2019-04-01,0,1795,3801,0.47224414627729544,92A,NHS SURREY HEARTLANDS
2019-05-01,1,1862,3955,0.47079646017699117,92A,NHS SURREY HEARTLANDS
2019-06-01,2,1720,3723,0.461993016384636,92A,NHS SURREY HEARTLANDS
2019-07-01,3,1885,3948,0.4774569402228977,92A,NHS SURREY HEARTLANDS
2019-08-01,4,1602,3477,0.46074201898188094,92A,NHS SURREY HEARTLANDS
2019-09-01,5,1688,3673,0.45956983392322354,92A,NHS SURREY HEARTLANDS
2019-10-01,6,1856,3864,0.4803312629399586,92A,NHS SURREY HEARTLANDS
2019-11-01,7,2228,4692,0.47485080988917305,92A,NHS SURREY HEARTLANDS
2019-12-01,8,1955,4217,0.4635997154375148,92A,NHS SURREY HEARTLANDS
2020-01-01,9,2093,4445,0.47086614173228347,92A,NHS SURREY HEARTLANDS
2020-02-01,10,1837,3966,0.4631870902672718,92A,NHS SURREY HEARTLANDS
2020-03-01,11,3360,6831,0.4918752744839701,92A,NHS SURREY HEARTLANDS
2020-04-01,12,2122,4701,0.45139332057009146,92A,NHS SURREY HEARTLANDS
2020-05-01,13,1798,4008,0.4486027944111776,92A,NHS SURREY HEARTLANDS
2020-06-01,14,1737,3846,0.4516380655226209,92A,NHS SURREY HEARTLANDS
2020-07-01,15,1768,4109,0.4302750060842054,92A,NHS SURREY HEARTLANDS
2020-08-01,16,1595,3607,0.44219573052398115,92A,NHS SURREY HEARTLANDS
2020-09-01,17,1861,4146,0.4488663772310661,92A,NHS SURREY HEARTLANDS
2020-10-01,18,1961,4447,0.44097144142118283,92A,NHS SURREY HEARTLANDS
2020-11-01,19,1857,4144,0.4481177606177606,92A,NHS SURREY HEARTLANDS
2020-12-01,20,1784,4187,0.4260807260568426,92A,NHS SURREY HEARTLANDS
2021-01-01,21,2016,4398,0.4583901773533424,92A,NHS SURREY HEARTLANDS
2021-02-01,22,1597,3700,0.4316216216216216,92A,NHS SURREY HEARTLANDS
2021-03-01,23,1769,4009,0.44125717136443005,92A,NHS SURREY HEARTLANDS
2021-04-01,24,1820,4079,0.4461877911252758,92A,NHS SURREY HEARTLANDS
2021-05-01,25,1652,3663,0.45099645099645097,92A,NHS SURREY HEARTLANDS
2021-06-01,26,1909,4149,0.4601108700891781,92A,NHS SURREY HEARTLANDS
2021-07-01,27,1884,4206,0.4479315263908702,92A,NHS SURREY HEARTLANDS
